Rank,Country / Dependency,Population,Percentage of the world,Date,Source (official or from the United Nations)
1,India,1425775850,,14 Apr 2023,UN projection[92]
2,China,1412600000,,31 Dec 2021,National annual estimate[93]
3,United States,335595788,,7 Nov 2023,National population clock[94]
4,Indonesia,275773800,,1 Jul 2022,National annual estimate[95]
5,Pakistan,229488994,,1 Jul 2022,UN projection[96]
6,Nigeria,216746934,,1 Jul 2022,UN projection[96]
7,Brazil,216873040,,7 Nov 2023,National population clock[97]
8,Bangladesh,168220000,,1 Jul 2020,Annual Population Estimate[98]
9,Russia,147190000,,1 Oct 2021,2021 preliminary census results[99]
10,Mexico,128271248,,31 Mar 2022,
